"Transaction.ID","Customer.ID","Transaction.Amount","Transaction.Date","Payment.Method","Product.Category","Quantity","Customer.Age","Customer.Location","Device.Used","IP.Address","Shipping.Address","Billing.Address","Is.Fraudulent","Account.Age.Days","Transaction.Hour"
"b88b1ca8-106b-4970-92a4-ea7312b854c8","d38fbc30-8208-4fab-a523-00a2d00b090c",153.97,"2024-02-29 18:48:27","credit card","clothing",1,26,"Courtneytown","desktop","44.87.17.218","3746 Terrance Bypass
Port Brian, WA 58748","3746 Terrance Bypass
Port Brian, WA 58748",0,242,18
"15bf8b53-da45-4885-bd5c-93dcc9e846ee","f0e3a74f-aa7f-4a22-bf75-78dfe34e98c5",731.72,"2024-03-17 09:47:48","PayPal","electronics",1,32,"Lake Patricia","mobile","84.6.16.198","736 Gary Key
South Staceyburgh, CO 00561","736 Gary Key
South Staceyburgh, CO 00561",0,224,9
"a01a5bb7-f8e8-47fa-92bf-1f2898a912f4","0ed081cc-daa1-4016-8273-dbfcf6197b08",302.56,"2024-02-01 09:51:03","debit card","home & garden",3,30,"New Tanner","desktop","74.116.79.69","94363 Huffman Point
East Lindsay, PR 58828","94363 Huffman Point
East Lindsay, PR 58828",0,292,9
"4b0056ce-d684-4f0c-88ca-3f8d44b8a4a1","ceffd044-cedf-48cc-aa9d-063dfadd1127",137.16,"2024-03-08 14:40:55","credit card","clothing",1,63,"East Richardland","mobile","96.37.226.151","86258 Abigail Fields
South Cherylborough, CA 23960","86258 Abigail Fields
South Cherylborough, CA 23960",0,14,14
"cdeeb832-7046-4fff-a2de-de83de7f3ecf","6828731e-6331-4950-b156-28cee1bf3e50",444.19,"2024-03-14 10:14:42","PayPal","home & garden",3,40,"South Danielleville","desktop","43.122.212.47","864 Ryan Stravenue Apt. 035
Wheelerborough, MD 39505","33073 Teresa Cliff
New Rhondafurt, NJ 90680",0,118,10
"7d96cd02-594a-4d6d-ba5e-7f5261860788","b3fe07ab-1ca2-4d87-b6bb-f6b0493d9d75",2851.2,"2024-04-01 16:39:44","PayPal","electronics",1,37,"Hamiltonmouth","desktop","89.150.111.47","9490 Sara Turnpike Suite 028
North Keithstad, VA 92634","9490 Sara Turnpike Suite 028
North Keithstad, VA 92634",1,30,16
"b942f157-6cb6-4f16-9516-12f85e0d990a","c8dcb814-40a9-4503-9e9c-f67e49a8b9e1",104.1,"2024-02-27 19:27:25","PayPal","electronics",1,31,"Jamesstad","tablet","99.169.157.49","5121 Wright Plains Suite 044
Lake Andrewland, CO 55286","5121 Wright Plains Suite 044
Lake Andrewland, CO 55286",0,316,19
"625c7a23-9087-4b48-b833-31defd159e11","c2807441-06d5-4efd-a7f5-f853bf47b767",1128.83,"2024-02-10 18:30:34","bank transfer","home & garden",2,30,"Booneberg","tablet","152.206.243.4","460 Edwards Plaza Apt. 931
Harrisville, CT 74041","51461 Sara Branch Suite 509
West Brenda, IA 73287",0,255,18
"11e51237-5613-42b4-a9ce-7f478659e45c","dc75f21b-0c8d-4db5-bde2-b4a17644c850",184.61,"2024-02-26 12:21:34","bank transfer","electronics",2,27,"Smithshire","desktop","118.52.209.78","683 Michael Circles
New Hayden, NE 40713","683 Michael Circles
New Hayden, NE 40713",0,76,12
"f3b7bee3-73f6-4b9b-bef6-242ebc69a943","7dc12490-d223-47ff-82f3-fc4ba3bfb935",23.98,"2024-01-23 06:56:37","credit card","clothing",1,40,"Brandyburgh","tablet","171.165.158.238","497 Justin Gardens
Santiagoland, HI 79777","497 Justin Gardens
Santiagoland, HI 79777",0,85,6
